date,forecast_sales
2026-08-01,25240.841690495803
2026-08-02,32238.08010750351
2026-08-03,61907.461343713905
2026-08-04,65328.429276244606
2026-08-05,55720.64788217265
2026-08-06,75109.36541476473
2026-08-07,59729.7043784889
2026-08-08,34609.87469062874
2026-08-09,35522.819960078705
2026-08-10,61024.26626837167
2026-08-11,67023.52448580999
2026-08-12,61303.08311516881
2026-08-13,59741.56566785085
2026-08-14,65382.916870477864
2026-08-15,40229.239769974614
2026-08-16,34134.60076979525
2026-08-17,54323.68808909512
2026-08-18,60810.79262479482
2026-08-19,58966.37438425298
2026-08-20,54093.408763862244
2026-08-21,57397.37329139836
2026-08-22,37952.12828582471
2026-08-23,32965.49176359693
2026-08-24,51868.253810165785
2026-08-25,57181.11753697551
2026-08-26,56646.0575996395
2026-08-27,53181.920100829
2026-08-28,54017.94631893033
2026-08-29,36153.15741326527
2026-08-30,30724.834194056584
2026-08-31,76220.11482880422
2026-09-01,39281.19977362995
2026-09-02,61574.22812739324
2026-09-03,60411.38562109894
2026-09-04,58330.53789980663
2026-09-05,36860.45324261202
2026-09-06,33179.79428668145
2026-09-07,60544.540826826546
2026-09-08,53981.94751785693
2026-09-09,58807.53957134913
2026-09-10,56023.49576497587
2026-09-11,53712.10446211703
2026-09-12,34223.724979066836
2026-09-13,31452.65691985796
2026-09-14,50522.969765601454
2026-09-15,54581.63311346696
2026-09-16,51872.04436823071
2026-09-17,49318.33692604915
2026-09-18,48431.85369917697
2026-09-19,31710.959843066335
2026-09-20,29522.90350471701
2026-09-21,46461.2409365786
2026-09-22,51079.932632090684
2026-09-23,48801.58391421057
2026-09-24,46281.26667167257
2026-09-25,45511.21227355992
2026-09-26,29869.746139323004
2026-09-27,27886.76126083137
2026-09-28,43822.56293603979
2026-09-29,47593.393281620476
2026-09-30,71553.54823692415
2026-10-01,37413.34333223643
2026-10-02,59655.318106323655
2026-10-03,39402.1501901603
2026-10-04,36549.14723122184
2026-10-05,56984.83964271766
2026-10-06,60505.52251482776
2026-10-07,64921.4359984348
2026-10-08,50964.372019394614
2026-10-09,56740.23709372708
2026-10-10,37027.32816603004
2026-10-11,33825.61199680197
2026-10-12,51828.581751315935
2026-10-13,55066.10225640236
2026-10-14,53765.891798014396
2026-10-15,50630.38727048389
2026-10-16,49352.45836688128
2026-10-17,32863.61554466787
2026-10-18,30681.744706885016
2026-10-19,48274.380282070444
2026-10-20,52573.62963831323
2026-10-21,51300.18365017078
2026-10-22,49547.10544239278
2026-10-23,48239.00304150432
2026-10-24,32083.225103941662
2026-10-25,30518.286178266582
2026-10-26,49040.291587348474
2026-10-27,53197.540786012774
2026-10-28,51214.365729376535
2026-10-29,48721.648125759115
2026-10-30,47478.27113360436
2026-10-31,47881.90064347464
2026-11-01,22583.991790286444
2026-11-02,54549.13011756448
2026-11-03,61018.231040779276
2026-11-04,57373.2236756734
2026-11-05,51295.29924440115
2026-11-06,49130.53638163033
2026-11-07,35876.27921377266
2026-11-08,27451.81741039991
2026-11-09,49978.56065655728
2026-11-10,55121.25162667621
2026-11-11,52548.01118813812
2026-11-12,47916.968434474984
2026-11-13,46175.11383297642
2026-11-14,30785.109564478083
2026-11-15,28293.896685480853
2026-11-16,45786.135243610384
2026-11-17,50305.377819023364
2026-11-18,49071.06103098385
2026-11-19,46162.47887721698
2026-11-20,44897.88213654059
2026-11-21,29421.151233446762
2026-11-22,27796.452416025433
2026-11-23,44099.70132411513
2026-11-24,47958.0592224614
2026-11-25,46553.05600301352
2026-11-26,43856.83395918155
2026-11-27,42592.20861049136
2026-11-28,27740.46497534492
2026-11-29,26022.513412056163
2026-11-30,63940.03845204447
2026-12-01,31638.72838452713
2026-12-02,49118.6183559525
2026-12-03,48294.846954528104
2026-12-04,45952.8976693834
2026-12-05,28418.966940924664
2026-12-06,26576.343268433015
2026-12-07,48124.2306225637
2026-12-08,42466.841039938474
2026-12-09,46231.75165413236
2026-12-10,44211.843110654205
2026-12-11,42324.69257056331
2026-12-12,26664.754241339197
2026-12-13,24734.853645067982
2026-12-14,40135.53266241192
2026-12-15,43551.57142734908
2026-12-16,41244.81833451145
2026-12-17,39049.83376263596
2026-12-18,38242.919557283705
2026-12-19,24867.053977053474
2026-12-20,23096.51651882628
2026-12-21,36557.770633342385
2026-12-22,40298.46879848082
2026-12-23,38351.506104126354
2026-12-24,36130.27097471901
2026-12-25,35381.547460923604
2026-12-26,23146.42375511919
2026-12-27,21514.371701789303
2026-12-28,33842.329727126096
2026-12-29,36855.56567880862
2026-12-30,35339.35076620302
2026-12-31,50700.166740144065
2027-01-01,5638.527667728245
2027-01-02,4793.567784004397
2027-01-03,5056.257577891678
2027-01-04,59194.013683269346
2027-01-05,61964.07135766781
2027-01-06,45814.545419705726
2027-01-07,41188.579174298626
2027-01-08,22044.04550957344
2027-01-09,16782.92913736142
2027-01-10,19699.003817999324
2027-01-11,69060.28870183176
2027-01-12,70429.624621042
2027-01-13,55240.64711090655
2027-01-14,46758.696148460775
2027-01-15,41540.73913870322
2027-01-16,25444.031794862294
2027-01-17,24186.23378657784
2027-01-18,43739.89984931085
2027-01-19,49695.34820118026
2027-01-20,47836.4257775715
2027-01-21,43787.69700196441
2027-01-22,42126.921175522606
2027-01-23,25839.31421752203
2027-01-24,23760.30652722648
2027-01-25,38363.60638483902
2027-01-26,45081.80425143658
2027-01-27,46402.968762244
2027-01-28,44407.83582374899
2027-01-29,43492.80505538836
