date,forecast_sales
2026-08-01,25240.841690495803
2026-08-02,32238.08010750351
2026-08-03,61907.461343713905
2026-08-04,65328.429276244606
2026-08-05,55720.64788217265
2026-08-06,75109.36541476473
2026-08-07,59729.7043784889
2026-08-08,34609.87469062874
2026-08-09,35522.819960078705
2026-08-10,61024.26626837167
2026-08-11,67023.52448580999
2026-08-12,61303.08311516881
2026-08-13,59741.56566785085
2026-08-14,65382.916870477864
2026-08-15,40229.239769974614
2026-08-16,34134.60076979525
2026-08-17,54323.68808909512
2026-08-18,60810.79262479482
2026-08-19,58966.37438425298
2026-08-20,54093.408763862244
2026-08-21,57397.37329139836
2026-08-22,37952.12828582471
2026-08-23,32965.49176359693
2026-08-24,51868.253810165785
2026-08-25,57181.11753697551
2026-08-26,56646.0575996395
2026-08-27,53181.920100829
2026-08-28,54017.94631893033
2026-08-29,36153.15741326527
2026-08-30,30724.834194056584
