product,revenue,units,kg,n_invoices,rank,cum_pct_revenue,abc_class,volume_tier
Chief Chicken Polony 6 x 1 Kg,141800.05,832.0,4992.0,29,63,63.951797961734435,A,High Volume
Vienna 1 kg COMBO DEAL,141612.84,1402.0,0.0,586,64,64.29977201220049,A,Low Volume
Executive Hamper,141415.19999999998,495.0,3286.69,362,65,64.64726041749954,A,High Volume
Onion 10Kg,133369.25,1754.0,16780.0,265,66,64.97497814514429,A,High Volume
Shoulder Bacon 1kg,133046.80000000002,1277.0,1257.0,349,67,65.30190354186361,A,High Volume
Pre-Cooked Marinated Cocktail Ribs 1Kg,132183.71,1564.0,1564.0,664,68,65.62670813567254,A,High Volume
Garlic Polony 6 x 1kg,128375.74,772.0,4632.0,60,69,65.94215570546478,A,High Volume
Champion French Polony 3Kg,128191.98999999999,1941.0,5823.0,740,70,66.25715176089031,A,High Volume
Supreme Mala 1kg,127088.81,12288.0,12288.0,1116,71,66.56943705920514,A,High Volume
CASE: Supreme Mala 1kg x 10,126340.87,1220.0,12210.0,339,72,66.87988450361277,A,High Volume
Spare Ribs Smoked Double Rack per kg RW STOPPED,122799.09,3301.0,1249.35,45,73,67.18162901167324,A,High Volume
Supreme Hearts 1kg,120092.16,3949.0,3949.0,987,74,67.47672199437466,A,High Volume
Breakfast Hamper,118990.45999999999,494.0,2711.94,346,75,67.76910785665254,A,High Volume
Value Add Special P/Kg,117300.69,2815.0,1927.32,654,76,68.05734158052789,A,High Volume
Streaky Bacon 5 x 1kg,116811.9,187.0,935.0,27,77,68.34437423932943,A,High Volume
Combo Deal 20,115198.04000000001,1283.0,0.0,521,78,68.62744128737783,A,Low Volume
Butchery Plastic Bags,113967.78,93615.0,0.01,1725,79,68.90748531466537,A,Low Volume
Eskort Deli Marinated Rib Burger 500g,113904.09,2614.0,1307.0,19,80,69.18737284154463,A,High Volume
Fruit Combo Deal,112737.78,3222.0,0.0,193,81,69.46439448694876,A,Low Volume
Eskort Beef Burger Patties 1.2kg,112403.23,1198.0,1437.6,413,82,69.74059406905283,A,High Volume
Supreme Necks 1kg,110525.29,5999.0,5999.0,1010,83,70.0121791374706,A,High Volume
Eskort Burger & Chips Sauce 500ml,107750.75,2879.0,1439.5,1058,84,70.27694654781457,A,High Volume
Eskort Sliced Sandwich Ham 12 x 180g,106912.99,561.0,1211.76,49,85,70.53965539665722,A,High Volume
Supreme Crumbed Pops 1kg,105630.67,1341.0,1341.0,679,86,70.79921330181148,A,High Volume
RTE: Tshisa Nyama Pap & Chop,104676.55,4015.0,1445.5,362,87,71.05642672322378,A,High Volume
Bacon Cutts 500g Promo,102546.83,1183.0,0.0,492,88,71.3084069518355,A,Low Volume
Rindless Back Bacon 5 x 1kg,102263.98,188.0,940.0,29,89,71.55969215547508,A,High Volume
Frio Russian 4kg Loose,101002.88,704.0,2816.0,371,90,71.8078785576568,A,High Volume
CASE: Supreme Heads & Feet 1kg x 10,98955.73,864.0,8640.0,153,91,72.05103465977952,A,High Volume
French Polony 1kg,98354.47,7032.0,7032.0,1314,92,72.29271333317764,A,High Volume
Supreme Crumbed Patties 1kg,98151.38,1288.0,1288.0,618,93,72.53389296955407,A,High Volume
Eskort Marinated Loin Ribs 10 x 750g,95766.26,133.0,997.5,20,94,72.76921183887544,A,High Volume
Eskort Spare Ribs Pre-Cooked Marinated 6 x 1kg per,95689.56,138.0,828.0,22,95,73.00434223934276,A,High Volume
Supreme Heads & Feet 1kg,94587.55,7750.0,7750.0,1032,96,73.23676475764802,A,High Volume
Viennas 500g Combo,90173.3,2154.0,0.0,564,97,73.45834048796239,A,Low Volume
RTE: Eisbein Oven Baked p/kg,90082.4,3951.0,1069.96,801,98,73.6796928568839,A,High Volume
French Polony 2.5kg,90011.22,1586.0,3965.0,762,99,73.90087032081155,A,High Volume
Budget Hamper (4.65kg),86594.6,519.0,2413.3500000000004,365,100,74.11365239417785,A,High Volume
