product,revenue,units,kg,n_invoices,rank,cum_pct_revenue,abc_class,volume_tier
Garlic Polony 1kg,19317.32,1616.0,1616.0,777,276,92.4541296037935,B,High Volume
Country Jelapeno Wors P/Kg,19246.69,412.0,259.49,232,277,92.50142297547762,B,High Volume
Champion French Polony 2.5kg,19195.31,265.0,662.5,204,278,92.54859009514453,B,High Volume
Onion 3kg,18974.18,691.0,2073.0,264,279,92.59521384952211,B,High Volume
Butternut 3kg,18926.68,979.0,2937.0,185,280,92.64172088590014,B,High Volume
RTE: Trotters P/KG,18497.19,817.0,287.54,350,281,92.68717257041223,B,High Volume
Sauces Mustard H-SQ 500ml,18380.45,700.0,350.0,413,282,92.7323373989397,B,High Volume
EDFP - Viennas 1Kg,18363.13,216.0,0.0,83,283,92.7774596683987,B,Low Volume
EDFP - Russians 500g,18071.99,191.0,0.0,141,284,92.82186654252314,B,Low Volume
Champion French Polony 2kg,18019.649999999998,309.0,618.0,251,285,92.86614480569814,B,High Volume
Combo Deal 16,17864.74,572.0,0.0,137,286,92.91004242076133,B,Low Volume
CHEDDAR LOAF P/Kg (� 2.0kg),17313.34,72.0,137.35,68,287,92.95258512414118,B,High Volume
Jimmy's Sauces Steakhouse 750ml,17245.19,396.0,297.0,287,288,92.9949603679069,B,High Volume
Chief Chicken Crumbed Patties 1Kg,17141.93,198.0,198.0,106,289,93.03708187902767,B,High Volume
Eskort Snack Platter 1kg,16940.58,199.0,199.0,139,290,93.07870862869136,B,High Volume
CREAMLINE FC MILK (LF) 6 x 1L,16933.12,188.0,1128.0,125,291,93.12031704748607,B,High Volume
Sliced Chopped Ham Roll 12 x 180g,16771.41,116.0,250.56,21,292,93.16152810906583,B,High Volume
Clover Aquartz Still Water 500ml,16634.45,1472.0,736.0,749,293,93.2024026296515,B,High Volume
Till Rounding,16619.35,0.0,0.0,2069,294,93.24324004619943,B,Low Volume
EDL Rindless Back Bacon,16568.15,191.0,0.0,141,295,93.28395165302992,B,Low Volume
Diced Bacon 1kg,16381.0,177.0,177.0,108,296,93.32420339094213,B,High Volume
Pig Hearts p/kg,16134.93,577.0,394.86,327,297,93.3638504804722,B,High Volume
Eskort Bacon Spread 20 x 100g,15867.75,77.0,154.0,8,298,93.40284104968387,B,High Volume
Combo Deal 13,15824.76,182.0,0.0,120,299,93.4417259829629,B,Low Volume
Green pepper 4PC,15646.89,1011.0,202.2,183,300,93.48017385033492,B,High Volume
Pepsi Cola 500ml,15556.08,1492.0,746.0,528,301,93.518398577464,B,High Volume
Eskort Crumbed Pork Fingers 450g,15507.84,377.0,157.8,268,302,93.55650476824997,B,High Volume
Mini Ribs BBQ Marinated Bulk 2kg,15407.68,107.0,214.0,82,303,93.59436484377619,B,High Volume
Dagbreek Nuts Peanut Snack 50g,15317.039999999999,1846.0,1846.0,726,304,93.63200219678706,B,High Volume
Jimmy's Sauces Steakhouse 375ml,14943.029999999999,603.0,227.69,411,305,93.66872052455547,B,High Volume
Sandwich Ham 2.5kg,14935.1,90.0,225.0,68,306,93.70541936656102,B,High Volume
Sauces Tomato H-SQ 500ml,14838.949999999999,568.0,284.0,363,307,93.74188194676324,B,High Volume
Eskort Cooler Bag,14265.929999999998,49.0,47.0,47,308,93.77693649016315,B,High Volume
Eskort Bacon Griller 500g,14254.93,770.0,385.0,449,309,93.81196400413158,B,High Volume
GOUDA LOAF P/Kg (� 2.0kg),14192.17,61.0,112.56,52,310,93.84683730290735,B,High Volume
Chief Chicken Polony 750g,14056.8,745.0,558.75,315,311,93.88137796767045,B,High Volume
Russian Sausages 2kg Combo Deal,13912.53,50.0,0.0,34,312,93.91556412915362,B,Low Volume
Crown national Six Gun Grill 750ml,13901.19,293.0,110.82000000000001,230,313,93.94972242575015,B,High Volume
Eskort Family Braai Box P/Kg,13817.39,92.0,132.76,84,314,93.98367480722325,B,High Volume
Eskort Braai Bacon 450g,13770.15,242.0,108.9,150,315,94.01751110957426,B,High Volume
Russian Sausages 4 x 2kg,13765.32,32.0,256.0,2,316,94.05133554354764,B,High Volume
Eskort Marinated Chicken Braai Burger 500g,13526.7,239.0,119.5,166,317,94.08457363543563,B,High Volume
Sauces Hamburger MN Distributors 500ml,13459.49,513.0,256.5,360,318,94.1176465774973,B,High Volume
Chief Chicken Crumbed Nuggets 1Kg,13270.53,153.0,153.0,84,319,94.1502552030706,B,High Volume
Curry Brawn 12 x 500g,13263.2,49.0,294.0,7,320,94.18284581721366,B,High Volume
Beef Biltong Sticks p/kg (HBG only),13209.97,500.0,33.71,246,321,94.21530563348057,B,High Volume
Smoked Eisbein p/kg UP,13200.66,26.0,231.54,25,322,94.24774257301955,B,High Volume
Chief Chicken Crumbed Strips 1Kg,13168.41,152.0,152.0,89,323,94.28010026717988,B,High Volume
Chopped Ham Roll 500g Combo,13129.37,155.0,0.0,135,324,94.31236203143068,B,Low Volume
Chakalaka Braaiwors 720g,13083.27,738.0,531.36,382,325,94.3445105177914,B,High Volume
MCC Skinny Fries 1Kg,12803.029999999999,197.0,197.0,85,326,94.37597039252691,B,High Volume
Eskort Chicken Viennas 4 x 2kg,12670.66,28.0,224.0,4,327,94.40710500491288,B,High Volume
Eskort Smoked Viennas 4 x 2kg,12596.89,40.0,320.0,11,328,94.43805834810249,B,High Volume
Special Garlic Polony 500g,12554.65,340.0,170.0,229,329,94.46890789827522,B,High Volume
Clover IWS Cheese Cheddar 400gr,12476.3,205.0,82.0,164,330,94.4995649251792,B,High Volume
Eskort Creamy Pepper Sauce 500ml,12471.9,327.0,163.5,269,331,94.5302111403106,B,High Volume
Bacon en Cheese Wors p/kg,12441.03,67.0,111.3,53,332,94.56078150102837,B,High Volume
Gold Medal Pork Sausages 12 x 375g,12411.7,29.0,130.5,5,333,94.59127979145296,B,High Volume
Marinated Rib Burger FR 500g,12041.48,280.0,140.0,164,334,94.62086836950284,B,High Volume
Diced Bacon 200g,11769.19,657.0,131.4,290,335,94.64978787083481,B,High Volume
Clover IWS Cheese Gouda 400gr,11685.12,192.0,76.8,149,336,94.67850079359366,B,High Volume
Eskort Deli Footlong Cheesegriller 1kg,11650.97,115.0,115.0,100,337,94.70712980225387,B,High Volume
Eskort Honey Mustard Sauce 500ml,11567.9,310.0,155.0,248,338,94.73555468956202,B,High Volume
Champion Russian 500g,11534.47,954.0,477.0,192,339,94.76389743197068,B,High Volume
 Pickled Beef Tongue (F) P/Kg,11533.06,144.0,159.96,104,340,94.79223670969768,B,High Volume
Prego Steak p/kg,11479.23,172.0,96.8,75,341,94.8204437152159,B,High Volume
RTE: Pork Trotters & Pap 500g,11217.42,320.0,0.75,204,342,94.84800739569275,B,Low Volume
Peach 750g PP,11196.13,487.0,365.25,77,343,94.87551876193359,B,High Volume
Clover Cheddar Cheese Full Fat Processed Cheese 1.,11129.74,64.0,0.0,45,344,94.90286699326936,B,Low Volume
BC - Mirinda 2Lt Orange,11070.67,1298.0,2596.0,598,345,94.93007007655808,B,High Volume
Sliced Pork Chops 5x2Kg,11063.2,20.0,200.0,1,346,94.95725480440562,B,High Volume
Eskort Deli Marinated Rib Burger 12 x 500g,10920.75,25.0,150.0,2,347,94.98408950111552,B,High Volume
Frio Catering Vienna 1kg,10763.16,248.0,248.0,161,348,95.01053696436118,C,High Volume
Eskort Mustard Sauce 500g,10674.609999999999,280.0,140.0,220,349,95.03676684068346,C,High Volume
BC - Pepsi Max 2Lt,10650.1,959.0,1918.0,505,350,95.06293649051794,C,High Volume
French Polony 500g,10540.53,549.0,274.5,318,351,95.08883690264271,C,High Volume
BC - Mountain Dew 2Lt,10453.51,1170.0,2340.0,556,352,95.11452348739229,C,High Volume
Clover Slice o Nice 810g,10434.06,98.0,77.76,77,353,95.14016227919257,C,High Volume
Griller 500g Combo,10433.99,100.0,0.0,44,354,95.16580089898737,C,Low Volume
Spice Worcester Sauce Sprinkle Crown National 200g,10354.92,518.0,103.60000000000001,387,355,95.19124522631428,C,High Volume
Eskort Kampvuur Braaiwors 720g,10293.08,266.0,191.51999999999998,199,356,95.21653759909185,C,High Volume
CHEDDAR MINI P/Kg (� 1.0kg),10110.01,83.0,79.39,69,357,95.24138012841301,C,High Volume
Spiced Ground Meat(Six Gun Grill) 500g,10051.04,453.0,226.5,217,358,95.26607775540923,C,High Volume
Sauces Chilli MN Distributors 500ml,9983.13,386.0,193.0,304,359,95.29060851252441,C,High Volume
BC - 7 Up 2Lt Sugar Free,9979.22,1044.0,2088.0,525,360,95.3151296619053,C,High Volume
GOUDA 500g P/Kg (� 500g),9969.77,179.0,79.04,135,361,95.33962759054732,C,High Volume
Eskort Hamburger Patties 600g,9846.14,208.0,124.8,127,362,95.36382173295176,C,High Volume
Econo Burger Combo,9808.05,75.0,0.0,32,363,95.38792227980665,C,Low Volume
CASE: Supreme Gizzards 1kg x 10,9790.53,34.0,340.0,24,364,95.41197977614885,C,High Volume
Clover Pro Chs Slce 10x84x13.63g,9766.59,52.0,59.36,42,365,95.43597844661929,C,High Volume
"Spice B.B.Q Fiesta 200g, Crown National",9755.189999999999,488.0,97.60000000000001,375,366,95.45994910476982,C,High Volume
Frio Mongola 500g,9750.23,660.0,330.0,368,367,95.48390757510397,C,High Volume
Marinated BBQ Mini Ribs per kg,9646.35,107.0,101.09,88,368,95.50761078931613,C,High Volume
Sauce-a-licious Chillinaise 500ml,9424.33,214.0,107.0,172,369,95.53076845131223,C,High Volume
CHEDDAR 500g P/Kg (� 500g),9402.67,160.0,74.67,131,370,95.55387288990055,C,High Volume
Mini Ham 500g,9368.42,223.0,111.5,187,371,95.57689316866812,C,High Volume
Sliced Pork Trotters p/kg,9329.18,362.0,339.44,118,372,95.59981702608195,C,High Volume
Eskort Deli Rindless Back Bacon 1kg,9268.4,77.0,77.0,55,373,95.62259153360075,C,High Volume
Butternut 7kg,9188.15,217.0,1519.0,98,374,95.64516884913083,C,High Volume
Frio Polony 1kg,9179.720000000001,264.0,264.0,214,375,95.66772545028749,C,High Volume
Loin rib 750g Combo Deal,9021.36,48.0,0.0,23,376,95.68989292591972,C,Low Volume
Eskort Pepperoni Griller 500g,8991.52,322.0,161.0,211,377,95.71198707807605,C,High Volume
Clover IWS Cheese Cheddar 180g,8854.28,297.0,53.1,176,378,95.73374400121637,C,High Volume
Red Bull Energy Drink 475ml,8749.57,282.0,282.0,222,379,95.7552436287412,C,High Volume
GOUDA MINI P/Kg (� 1.0kg),8749.08,106.0,68.79,66,380,95.77674205222775,C,High Volume
Spice Portuguese Peri-Peri Crown National 200g,8708.2,315.0,315.0,243,381,95.79814002451805,C,High Volume
Eskort Chicken Sausage 12x350g,8664.91,24.0,100.8,5,382,95.81943162370933,C,High Volume
Eskort Red Viennas 4 x 2kg,8626.45,27.0,216.0,8,383,95.84062871817933,C,High Volume
Nectarine 750g PP,8562.14,286.0,214.5,48,384,95.86166778876402,C,High Volume
Sprite 440ml,8552.4,641.0,282.04,383,385,95.88268292601573,C,High Volume
Chopped Ham Roll 500g,8466.95,988.0,494.0,339,386,95.90348809372931,C,High Volume
Smoked Chicken Roll 4 x 2.5kg Box,8463.38,11.0,110.0,3,387,95.92428448916375,C,High Volume
Shoulder Bacon 200g Combo,8372.14,203.0,0.0,79,388,95.94485668775017,C,Low Volume
CASE: Supreme Drums 5kg x 1,8347.53,30.0,150.0,2,389,95.96536841412674,C,High Volume
Mirinda 500ml Orange,8341.68,800.0,400.0,463,390,95.9858657657602,C,High Volume
Nestle Bar One 52g,8301.42,645.0,32.92,369,391,96.00626418967444,C,High Volume
EDFP - Breakfast Box Combo,8260.47,50.0,0.0,22,392,96.02656199038695,C,Low Volume
Eskort Chicken Polony 80g,8249.4,1611.0,128.72,491,393,96.04683258966251,C,High Volume
Miami - Mango Atchar (Mild) 400g,8208.82,230.0,92.0,187,394,96.06700347490815,C,High Volume
Smoked Eisbein p/kg,8188.16,88.0,138.71,62,395,96.087123593967,C,High Volume
Eskort Marinated Mini Ribs 1Kg,8124.2699999999995,164.0,164.0,104,396,96.1070867211734,C,High Volume
Sliced Double Smoked Ham 180g,8073.88,402.0,72.36,246,397,96.12692602901144,C,High Volume
Kit Kat 4 Finger Milk 41.5g,7924.39,600.0,24.26,311,398,96.14639800687569,C,Low Volume
7 Up 500ml Sugar Free,7914.320000000001,759.0,379.5,470,399,96.16584524052402,C,High Volume
Grapetizer 275ml,7882.21,384.0,106.72000000000001,286,400,96.18521357280466,C,High Volume
MCC Shoestring 7mm 2.5Kg,7879.34,66.0,165.0,47,401,96.2045748528609,C,High Volume
Supreme Crumbed Strips 1kg,7847.0,95.0,95.0,64,402,96.2238566663886,C,High Volume
Chilli(Pepper) Loaf 4 x 2.5kg,7799.7,10.0,100.0,2,403,96.24302225336095,C,High Volume
Red Bull Energy Drink 355ml,7718.65,303.0,106.52,251,404,96.26198868256772,C,High Volume
Eskort Sliced Sandwich Ham 180g,7686.13,371.0,66.78,252,405,96.28087520294616,C,High Volume
Eskort Crumbed Pork Strips 480g,7675.5,141.0,66.72,93,406,96.2997356030649,C,High Volume
Nectarines Punnet,7646.94,551.0,109.4,61,407,96.31852582495065,C,High Volume
EDFP - Bacon 200g,7508.08,72.0,0.0,64,408,96.3369748371223,C,Low Volume
Miami - Vegetable Atchar (Hot) 380g,7488.150000000001,208.0,79.04,185,409,96.35537487687856,C,High Volume
Sprite 2L,7484.929999999999,287.0,574.0,239,410,96.37376700438307,C,High Volume
Peppadew Slides Jalapeno's- Hot 400g,7480.95,181.0,72.4,141,411,96.39214935214783,C,High Volume
RTE: HALF RACK OF RIBS & CHIPS,7468.79,88.0,154.0,21,412,96.41050182010468,C,High Volume
Eskort Marinated Rib Burger 16 x 500g,7359.62,14.0,112.0,3,413,96.42858603324024,C,High Volume
Pork Trotters Mixed 2 x 10Kg,7358.6,20.0,400.0,1,414,96.44666774001033,C,High Volume
Clover Krush Cranberry 1.5Lt,7332.27,183.0,274.5,164,415,96.46468474815035,C,High Volume
Crunchie 40g,7330.27,548.0,21.92,292,416,96.4826968418483,C,Low Volume
Eskort Chicken Vienna 125g,7268.6,723.0,91.77,396,417,96.50055739872447,C,High Volume
Beef Sticks (J) P/Kg,7184.3,261.0,16.5,160,418,96.5182108118667,C,Low Volume
Cold Meat Ham Selection P/Kg,7100.07,600.0,426.79,175,419,96.53565725328043,C,High Volume
Dagbreek Choc Chip 350g Biscuits,7089.51,222.0,77.7,178,420,96.55307774643993,C,High Volume
Powerade Mountain Blast 500ml,7088.18,444.0,222.0,218,421,96.57049497149546,C,High Volume
Fanta Orange 440ml,7060.2699999999995,531.0,233.64000000000001,351,422,96.58784361551169,C,High Volume
Mountain Dew 500ml,7048.77,676.0,338.0,420,423,96.60516400148589,C,High Volume
Miami - Mango Atchar (Hot) 400g,6969.280000000001,193.0,77.2,164,424,96.62228906295937,C,High Volume
Clover Aquartz Still Water 750ml,6943.06,470.0,470.0,303,425,96.63934969609707,C,High Volume
Umlando No Pork Braaiwors 720g,6937.16,477.0,343.44,276,426,96.65639583163062,C,High Volume
Beef Chilli Bites (J) P/Kg,6906.05,242.0,15.82,151,427,96.6733655230175,C,Low Volume
Clover Slice o Nice 360g,6894.4,122.0,43.92,95,428,96.69030658777923,C,High Volume
Tex Large 40g,6852.21,527.0,21.080000000000002,305,429,96.70714398238515,C,Low Volume
Bulk Kassler Chops P/Kg,6849.94,43.0,69.9,40,430,96.72397579909928,C,High Volume
Combo Deal 3,6764.79,47.0,0.0,30,431,96.74059838344158,C,Low Volume
Fanta Orange 2L,6754.679999999999,259.0,518.0,224,432,96.75719612527914,C,High Volume
Clover Krush 100% Fruit Juice Cranberry 500ml,6749.57,299.0,149.5,238,433,96.77378131071714,C,High Volume
CREAMLINE DAIRY BLEND 6 x 1L,6747.06,98.0,588.0,61,434,96.79036032853035,C,High Volume
Eskort Sliced Sandwich Ham 500g,6731.38,144.0,72.0,102,435,96.8069008171176,C,High Volume
Bosveld - Charcoal 4Kg,6731.03,144.0,576.0,78,436,96.82344044567746,C,High Volume
Red Bull Energy Drink 250ml,6716.65,336.0,84.0,274,437,96.83994473939873,C,High Volume
Chief Polony 1Kg Combo Deal,6599.19,101.0,0.0,49,438,96.85616040793623,C,Low Volume
Smoked Chicken Roll 2.5kg unit,6586.09,35.0,87.5,23,439,96.87234388687808,C,High Volume
Bosveld - Briquettes 4Kg,6565.7,126.0,504.0,87,440,96.88847726308285,C,High Volume
Meaty Bones P/KG (RP),6530.1900000000005,405.0,287.38,157,441,96.90452338336836,C,High Volume
Champion Russian 2Kg Combo,6521.5,25.0,0.0,19,442,96.92054815040301,C,Low Volume
Eskort Sliced Curry Brawn 12 x 180g,6496.92,44.0,95.04,8,443,96.93651251894441,C,High Volume
Combo Deal 19,6468.37,142.0,0.0,63,444,96.95240673382501,C,Low Volume
Liver Spread 500g,6442.599999999999,358.0,179.0,245,445,96.96823762611933,C,High Volume
Switch - Vitamin C 500ml,6442.07,570.0,285.0,319,446,96.9840672160865,C,High Volume
Eskort Econo Russians 4 x 3kg,6425.860000000001,10.0,120.0,5,447,96.99985697450056,C,High Volume
Reboost Energy Normal 500ml,6391.900000000001,613.0,306.5,365,448,97.01556328568796,C,High Volume
Miami - Vegetable Atchar (Mild) 380g,6380.6,191.0,68.02,162,449,97.0312418302776,C,High Volume
Beef Biltong Sticks p/kg,6350.8,213.0,22.830000000000002,126,450,97.04684714968012,C,Low Volume
Mini Ham 1kg,6338.72,68.0,68.0,64,451,97.06242278585245,C,High Volume
Sliced Cooked Ham MAP 12x125g,6292.7,25.0,37.5,5,452,97.07788534071237,C,High Volume
RTE: RACK OF RIBS & CHIPS,6277.879999999999,40.0,160.0,17,453,97.09331147955642,C,High Volume
Eskort Econo Burger 6 x 1kg,6270.1900000000005,14.0,144.0,5,454,97.10871872237064,C,High Volume
Champion French Polony 750g,6263.67,377.0,282.75,187,455,97.12410994410367,C,High Volume
Sliced Chopped Ham Roll 180g,6254.55,365.0,65.7,257,456,97.13947875598076,C,High Volume
RTE: Hotdog Plain,6250.0199999999995,503.0,3.0,131,457,97.15483643664655,C,Low Volume
Gold Medal Pork Sausages Mini Pork 12 x 375g,6200.84,14.0,63.0,4,458,97.17007327118141,C,High Volume
Pepsi Max 500ml,6172.8,592.0,296.0,310,459,97.18524120523821,C,High Volume
Clover IWS Cheese Gouda 180g,6163.67,200.0,35.64,125,460,97.20038670486689,C,High Volume
Dagbreek Ginger 350g Biscuits,6098.45,200.0,70.0,146,461,97.21537194453913,C,High Volume
Smoked Gammon p/kg,6088.22,67.0,74.94,50,462,97.23033204684009,C,High Volume
Eskort Marinated Chicken Braai Burger 800g,6028.26,80.0,64.0,63,463,97.24514481416726,C,High Volume
Meaty Bone 2Kg Combo,5999.43,69.0,0.0,35,464,97.25988673981178,C,Low Volume
Pears 1Kg,5972.61,383.0,359.0,97,465,97.2745627627879,C,High Volume
Crown National BBQ Six Gun Grill 375ml,5950.41,162.0,61.39,143,466,97.28918423545684,C,High Volume
Creme Soda 440ml,5921.13,444.0,195.36,332,467,97.30373376069366,C,High Volume
Switch Energy Kiwi Mango Strawberry 500ml,5910.38,523.0,261.5,269,468,97.31825687080425,C,High Volume
Chief Chicken Viennas Combo,5890.71,72.0,0.0,35,469,97.33273164737693,C,Low Volume
Eskort Deli Mini Frikkadels 1kg,5834.26,59.0,59.0,46,470,97.34706771382169,C,High Volume
Apples GD 1.5Kg,5821.92,208.0,312.0,105,471,97.36137345815878,C,High Volume
Combo Deal 4,5755.58,112.0,0.0,32,472,97.37551619045185,C,Low Volume
Potatoes 3kg,5743.42,169.0,507.0,50,473,97.38962904293705,C,High Volume
BC - Pepsi 750ml Regular,5733.4800000000005,660.0,495.0,136,474,97.40371747064505,C,High Volume
Alb Sup Wheat Wraps White (6x45g),5711.75,146.0,39.42,34,475,97.41775250293978,C,High Volume
LARGE VEG COMBO,5619.68,32.0,0.0,20,476,97.43156129889304,C,Low Volume
Fanta Grape 440ml,5598.49,420.0,184.8,309,477,97.44531802633242,C,High Volume
RTE: Mini Vetkoek Each,5548.4,2140.0,5.83,192,478,97.45895167156971,C,Low Volume
Fanta Pineapple 2L,5500.23,211.0,422.0,181,479,97.47246695246933,C,High Volume
Switch - Bok Can 500ml,5469.06,484.0,242.0,356,480,97.48590564178905,C,High Volume
Super C Energy Drink 500ml,5463.95,524.0,262.0,340,481,97.49933177470923,C,High Volume
Eskort Sliced Bacon Loaf 180g,5452.84,261.0,46.98,200,482,97.51273060790363,C,High Volume
Powerade Jag Ice 500ml,5440.96,359.0,179.5,181,483,97.52610024931202,C,High Volume
Eskort Tomato Sauce 500g,5329.0199999999995,138.0,69.0,113,484,97.53919482939682,C,High Volume
MCC MIXED VEGETABLES 1Kg,5278.68,132.0,132.0,92,485,97.55216571297429,C,High Volume
Eskort Deli Footlong Cheese Russian 1.2kg,5264.73,53.0,63.6,48,486,97.56510231831818,C,High Volume
Transport Zone 5 : 51 - 75 KM,5217.36,8.0,8.0,3,487,97.57792252510127,C,Low Volume
Apple 1Kg Red,5177.41,633.0,633.0,184,488,97.59064456590366,C,High Volume
Gold Medal Pork Sausages 6 x 750g,5164.610000000001,11.0,49.5,2,489,97.6033351542767,C,High Volume
Sliced Sandwich Ham MAP 12x125g,5151.6,22.0,33.0,4,490,97.61599377420397,C,High Volume
Eskort Chicken Sausage 350g,5106.599999999999,148.0,51.8,77,491,97.62854181918429,C,High Volume
Bacon Roll 12 x 500g,5070.28,11.0,66.0,3,492,97.64100061789631,C,High Volume
EDFP - Chopped Ham Roll 500g,5060.37,61.0,0.0,51,493,97.65343506554778,C,Low Volume
RTE: Sandwich - Ham and Cheese,4991.61,169.0,0.0,50,494,97.66570055468031,C,Low Volume
Fanta Grape 2L,4981.259999999999,191.0,382.0,163,495,97.67794061157502,C,High Volume
Spud Master Frozen Wedges 1.5Kg,4929.1,90.0,135.0,68,496,97.69005249982014,C,High Volume
Clover Aquartz Mineral Water Sparkling 1.5 lt,4928.38,293.0,436.5,242,497,97.70216261886611,C,High Volume
Hickory Ham 4 x 2.5 kg,4908.4,5.0,50.0,1,498,97.71422364263562,C,High Volume
Eskort French Polony 80g,4883.09,886.0,70.88,370,499,97.72622247414053,C,High Volume
Spud Master Frozen Potato Chips 7mm 1.5Kg,4834.12,88.0,132.0,58,500,97.73810097553091,C,High Volume
Eskort Sliced Ham & Tongue Loaf 180g,4816.09,239.0,42.66,181,501,97.74993517322592,C,High Volume
MCC CUT GREEN BEANS 1Kg,4792.9800000000005,102.0,102.0,64,502,97.7617125845426,C,High Volume
Garlic Polony 250g,4749.45,506.0,126.5,319,503,97.77338303302724,C,High Volume
Frio Red Vienna 1kg,4712.09,112.0,112.0,79,504,97.78496167973374,C,High Volume
TTChezzy Bites 6 Pack Spring Onion 180g,4708.66,258.0,46.44,177,505,97.79653189817202,C,High Volume
Tasty Treats Chezzy Bites Fruit Chutney 180g,4690.49,257.0,46.26,167,506,97.80805746890397,C,High Volume
Eskort Smoked Viennas 125g,4685.38,529.0,67.2,293,507,97.81957048323639,C,High Volume
Sliced Pork Leg Chops P/Kg,4665.65,184.0,80.67,93,508,97.8310350165976,C,High Volume
Maynards EnerJelly Mini Babies 60g,4612.31,273.0,16.38,155,509,97.84236848178837,C,Low Volume
Mageu No 1 Banana 1 litre,4610.400000000001,204.0,204.0,165,510,97.85369725368693,C,High Volume
Crown National Spice Braai 200g,4608.01,241.0,48.2,198,511,97.8650201528272,C,High Volume
Bosveld - Firelighters,4567.7,207.0,41.4,143,512,97.87624400138722,C,High Volume
Clover Mageu Banana Custard 1Lt,4537.87,174.0,174.0,142,513,97.8873945510435,C,High Volume
Switch - Dry Lemon 500ml,4519.66,400.0,200.0,301,514,97.89850035470458,C,High Volume
Sauce-a-licious Prego 500ml,4494.3,126.0,63.0,100,515,97.90954384324002,C,High Volume
Soft Drink Swhweppes Dry Lemon 1Lt,4490.9800000000005,304.0,304.0,163,516,97.92057917380157,C,High Volume
Eskort Crumbed Pork Schnitzel 500g,4477.55,75.0,37.5,30,517,97.93158150388452,C,High Volume
Eskort Beef Burger Patties (12x10x50g) 6kg,4443.5599999999995,8.0,48.0,2,518,97.94250031302421,C,High Volume
Spice Safari Biltong Seasoning Crown National 200g,4389.46,202.0,202.0,151,519,97.95328618650545,C,High Volume
Eskort Kapana Polony 250g,4372.09,504.0,126.0,315,520,97.96402937805718,C,High Volume
Mexican Chilli Marinated Loin Rib 10 x 750g,4359.96,6.0,45.0,1,521,97.97474276351763,C,High Volume
Apples GD 1Kg,4357.82,328.0,328.0,118,522,97.98545089052504,C,High Volume
Beef Biltong (J) P/Kg,4347.09,38.0,12.83,29,523,97.9961326515507,C,Low Volume
Sliced Sandwich Ham MAP 6x250g,4294.95,25.0,37.5,4,524,98.00668629307113,C,High Volume
Smoked Pork Neck Roast p/kg,4289.56,32.0,39.25,31,525,98.01722669017013,C,High Volume
Champion Russian 12 x 500g,4273.35,15.0,90.0,1,526,98.02772725571603,C,High Volume
Eskort Pepperoni Griller 12 x 500g,4268.16,8.0,48.0,2,527,98.03821506828469,C,High Volume
Bacon Roll 500g,4249.05,86.0,43.0,80,528,98.0486559233592,C,High Volume
Switch - Immune B GrapeF & Naartjie 500ml,4231.26,377.0,188.5,242,529,98.05905306447137,C,High Volume
Eskort Rindless Back Bacon 2 x 2kg,4197.69,9.0,36.0,2,530,98.0693677166731,C,High Volume
Switch - Cranberry & Cherry 500ml,4192.33,371.0,185.5,295,531,98.07966919817005,C,High Volume
Sliced Smoked Chicken Roll 180g,4164.7,194.0,34.92,141,532,98.08990278664957,C,High Volume
Krush Juice 100% Berries 500ml,4161.8,188.0,94.0,162,533,98.10012924918806,C,High Volume
Clover Aquartz Mineral Water Sparkling 500ml,4158.6900000000005,368.0,184.0,272,534,98.1103480697691,C,High Volume
Eskort Smoked Variety Braai Pack P/Kg,4135.54,32.0,37.48,28,535,98.12051000568299,C,High Volume
Krush Juice 100% Orange 500ml,4125.34,184.0,92.0,154,536,98.13064687794225,C,High Volume
Sliced Smoked Chicken Roll 12 x 180g,4100.52,17.0,36.72,3,537,98.14072276197521,C,High Volume
Tapas Box 1.2Kg,4068.4,31.0,37.199999999999996,22,538,98.15071972006825,C,High Volume
Refresh Ginger Beer 750ml,4055.95,609.0,456.75,232,539,98.16068608575931,C,High Volume
Krush Juice 100% 6Vitamin/6Fruits 500ml,4049.71,181.0,90.5,147,540,98.17063711839104,C,High Volume
Chief Pol 750g Combo,4016.79,77.0,0.0,33,541,98.18050725930603,C,Low Volume
Beef Burger 500g PROMO Combo,3964.92,38.0,0.0,17,542,98.1902499441655,C,Low Volume
Sliced Double Smoked Ham 12 x 180g,3960.6600000000003,12.0,25.92,2,543,98.1999821612633,C,Low Volume
Eskort Gold Medal Pork Sausages 375g Combo,3869.1,46.0,0.0,43,544,98.2094893952024,C,Low Volume
Mongola Polony 500g,3856.9,212.0,106.0,166,545,98.21896665104475,C,High Volume
Catercorp Bottled Jalapeno Sliced 375g,3834.98,118.0,44.68,98,546,98.22839004460184,C,High Volume
Stoney 2L,3832.8799999999997,147.0,294.0,128,547,98.23780827799473,C,High Volume
Refresh Apple 750ml,3823.66,574.0,430.5,206,548,98.2472038558096,C,High Volume
Eskort Red Viennas 125g,3781.82,430.0,54.800000000000004,275,549,98.256496623496,C,High Volume
De Vries Ginger  200g,3779.67,290.0,58.0,146,550,98.26578410815718,C,High Volume
EDFP - Back Bacon 200g,3764.9300000000003,32.0,0.0,31,551,98.27503537338018,C,Low Volume
Spice Parsley Refill Box 10g,3764.92,263.0,0.0,204,552,98.28428661403096,C,Low Volume
Sliced Chicken Polony 180g,3727.65,248.0,46.18,158,553,98.29344627405345,C,High Volume
Butternut 10Kg,3709.47,53.0,530.0,11,554,98.30256126179736,C,High Volume
